Accession,Gene Length (bp)
BraA06g13250R,2315
BraA06g13260R,2135
BraA06g13270R,465
BraA06g13280R,1964
BraA06g13290R,246
BraA06g13300R,4934
BraA06g13310R,1232
BraA06g13320R,2437
BraA06g13330R,2048
BraA06g13340R,2825
BraA06g13350R,4311
BraA06g13360R,2589
BraA06g13370R,4873
BraA06g13380R,3559
BraA06g13390R,2927
BraA06g13400R,579
BraA06g13410R,1529
BraA06g13420R,3962
BraA06g13430R,2711
BraA06g13440R,210
BraA06g13450R,317
BraA06g13460R,743
BraA06g13470R,2514
BraA06g13480R,2973
BraA06g13490R,305
BraA06g13500R,2496
BraA06g13510R,2139
BraA06g13520R,2976
BraA06g13530R,5178
BraA06g13540R,1678
BraA06g13550R,1839
BraA06g13560R,2264
BraA06g13570R,3543
BraA06g13580R,330
BraA06g13590R,5649
BraA06g13600R,2678
BraA06g13610R,4194
BraA06g13620R,507
BraA06g13630R,1248
BraA06g13640R,3061
BraA06g13650R,753
BraA06g13660R,10157
BraA06g13670R,859
BraA06g13680R,525
BraA06g13690R,1274
BraA06g13700R,2568
BraA06g13710R,567
BraA06g13720R,647
BraA06g13730R,1865
BraA06g13740R,2356
BraA06g13750R,4696
BraA06g13760R,5820
BraA06g13770R,1749
BraA06g13780R,5100
BraA06g13790R,851
BraA06g13800R,2414
BraA06g13810R,2293
BraA06g13820R,6771
BraA06g13830R,4305
BraA06g13840R,4445
BraA06g13850R,564
BraA06g13860R,5243
BraA06g13870R,828
BraA06g13880R,1251
BraA06g13890R,474
BraA06g13900R,1322
BraA06g13910R,2988
BraA06g13920R,6300
BraA06g13930R,4415
BraA06g13940R,3694
BraA06g13950R,6052
BraA06g13960R,2384
BraA06g13970R,3383
BraA06g13980R,2223
BraA06g13990R,5401
BraA06g14000R,2182
BraA06g14010R,3158
BraA06g14020R,2490
BraA06g14030R,4427
BraA06g14040R,3421
BraA06g14050R,336
BraA06g14060R,12191
BraA06g14070R,2866
BraA06g14080R,1876
BraA06g14090R,1131
BraA06g14100R,29867
BraA06g14110R,654
BraA06g14120R,660
BraA06g14130R,654
BraA06g14140R,660
BraA06g14150R,363
BraA06g14160R,925
BraA06g14170R,937
BraA06g14180R,2019
BraA06g14190R,267
BraA06g14200R,1060
BraA06g14210R,1244
BraA06g14220R,3256
BraA06g14230R,1179
BraA06g14240R,8454
BraA06g14250R,5385
BraA06g14260R,1287
BraA06g14270R,2266
BraA06g14280R,2607
BraA06g14290R,4218
BraA06g14300R,8383
BraA06g14310R,4729
BraA06g14320R,3590
BraA06g14330R,2422
BraA06g14340R,5123
BraA06g14350R,273
BraA06g14360R,645
BraA06g14370R,1713
BraA06g14380R,867
BraA06g14390R,258
BraA06g14400R,1683
BraA06g14410R,2508
BraA06g14420R,4041
BraA06g14430R,1757
BraA06g14440R,1795
BraA06g14450R,1111
BraA06g14460R,1456
BraA06g14470R,1459
BraA06g14480R,1486
BraA06g14490R,1560
BraA06g14500R,1681
BraA06g14510R,4798
BraA06g14520R,5744
BraA06g14530R,870
BraA06g14540R,2421
BraA06g14550R,4911
BraA06g14560R,9544
BraA06g14570R,1056
BraA06g14580R,684
BraA06g14590R,1170
BraA06g14600R,1458
BraA06g14610R,1209
BraA06g14620R,2912
BraA06g14630R,2435
BraA06g14640R,1619
BraA06g14650R,3570
BraA06g14660R,1809
BraA06g14670R,3478
BraA06g14680R,1589
BraA06g14690R,7493
BraA06g14700R,1521
BraA06g14710R,1074
BraA06g14720R,1065
BraA06g14730R,3388
BraA06g14740R,8037
BraA06g14750R,3322
BraA06g14760R,3279
BraA06g14770R,2920
BraA06g14780R,1239
BraA06g14790R,2902
BraA06g14800R,1953
BraA06g14810R,2838
BraA06g14820R,2195
BraA06g14830R,2926
BraA06g14840R,6458
BraA06g14850R,1765
BraA06g14860R,2174
BraA06g14870R,3596
BraA06g14880R,3231
BraA06g14890R,6581
BraA06g14900R,1439
BraA06g14910R,942
BraA06g14920R,3861
BraA06g14930R,1502
BraA06g14940R,1485
BraA06g14950R,711
BraA06g14960R,6415
BraA06g14970R,2007
BraA06g14980R,1795
BraA06g14990R,342
BraA06g15000R,1182
BraA06g15010R,4753
BraA06g15020R,456
BraA06g15030R,758
BraA06g15040R,204
BraA06g15050R,5671
BraA06g15060R,2816
BraA06g15070R,3663
BraA06g15080R,10264
BraA06g15090R,2187
BraA06g15100R,1119
BraA06g15110R,1537
BraA06g15120R,1650
BraA06g15130R,1192
BraA06g15140R,6865
BraA06g15150R,1685
BraA06g15160R,2356
BraA06g15170R,6933
BraA06g15180R,2668
BraA06g15190R,1231
BraA06g15200R,1597
BraA06g15210R,2771
BraA06g15220R,1100
BraA06g15230R,2021
BraA06g15240R,5110
BraA06g15250R,1802
BraA06g15260R,1348
BraA06g15270R,2485
BraA06g15280R,2335
BraA06g15290R,573
BraA06g15300R,1134
BraA06g15310R,2452
BraA06g15320R,1676
BraA06g15330R,3317
BraA06g15340R,2031
BraA06g15350R,969
BraA06g15360R,4572
BraA06g15370R,6186
BraA06g15380R,2461
BraA06g15390R,1602
BraA06g15400R,768
BraA06g15410R,1071
BraA06g15420R,207
BraA06g15430R,2064
BraA06g15440R,1813
BraA06g15450R,1071
BraA06g15460R,501
BraA06g15470R,1050
BraA06g15480R,3191
BraA06g15490R,558
BraA06g15500R,859
BraA06g15510R,1929
BraA06g15520R,3771
BraA06g15530R,3292
BraA06g15540R,3198
BraA06g15550R,1742
BraA06g15560R,1600
BraA06g15570R,2826
BraA06g15580R,459
BraA06g15590R,3960
BraA06g15600R,2278
BraA06g15610R,4458
BraA06g15620R,3373
BraA06g15630R,4023
BraA06g15640R,2077
BraA06g15650R,4100
BraA06g15660R,629
BraA06g15670R,354
BraA06g15680R,6662
BraA06g15690R,4551
BraA06g15700R,3193
BraA06g15710R,494
BraA06g15720R,4037
BraA06g15730R,467
BraA06g15740R,1508
BraA06g15750R,1699
BraA06g15760R,1828
BraA06g15770R,7523
BraA06g15780R,4233
BraA06g15790R,1587
BraA06g15800R,1442
BraA06g15810R,5377
BraA06g15820R,465
BraA06g15830R,3383
BraA06g15840R,609
BraA06g15850R,5399
BraA06g15860R,4436
BraA06g15870R,1397
BraA06g15880R,864
BraA06g15890R,4248
BraA06g15900R,1680
BraA06g15910R,3419
BraA06g15920R,1408
BraA06g15930R,934
BraA06g15940R,4163
BraA06g15950R,4495
BraA06g15960R,1908
BraA06g15970R,216
BraA06g15980R,489
BraA06g15990R,17388
BraA06g16000R,5768
BraA06g16010R,882
BraA06g16020R,4923
BraA06g16030R,2109
BraA06g16040R,1765
BraA06g16050R,909
BraA06g16060R,897
BraA06g16070R,983
BraA06g16080R,744
BraA06g16090R,2552
BraA06g16100R,1299
BraA06g16110R,1771
BraA06g16120R,3312
BraA06g16130R,2202
BraA06g16140R,1780
BraA06g16150R,1673
BraA06g16160R,1164
BraA06g16170R,801
BraA06g16180R,1262
BraA06g16190R,606
BraA06g16200R,748
BraA06g16210R,1289
BraA06g16220R,2269
BraA06g16230R,6624
BraA06g16240R,2551
BraA06g16250R,852
BraA06g16260R,12685
BraA06g16270R,519
BraA06g16280R,2642
BraA06g16290R,705
BraA06g16300R,939
BraA06g16310R,1819
BraA06g16320R,1616
BraA06g16330R,2071
BraA06g16340R,1840
BraA06g16350R,2005
BraA06g16360R,1722
BraA06g16370R,1573
BraA06g16380R,693
BraA06g16390R,3170
BraA06g16400R,762
BraA06g16410R,5110
BraA06g16420R,2858
BraA06g16430R,4502
BraA06g16440R,1670
BraA06g16450R,2905
BraA06g16460R,3158
BraA06g16470R,1224
BraA06g16480R,2036
BraA06g16490R,2672
BraA06g16500R,4084
BraA06g16510R,1882
BraA06g16520R,2590
BraA06g16530R,1214
BraA06g16540R,1176
BraA06g16550R,3152
BraA06g16560R,764
BraA06g16570R,969
BraA06g16580R,219
BraA06g16590R,764
BraA06g16600R,3408
BraA06g16610R,1319
BraA06g16620R,1628
BraA06g16630R,3617
BraA06g16640R,14739
BraA06g16650R,2309
BraA06g16660R,6678
BraA06g16670R,4907
BraA06g16680R,4661
BraA06g16690R,3310
BraA06g16700R,4379
BraA06g16710R,2106
BraA06g16720R,5540
BraA06g16730R,727
BraA06g16740R,3946
BraA06g16750R,4207
BraA06g16760R,1026
BraA06g16770R,6549
BraA06g16780R,3493
BraA06g16790R,2800
BraA06g16800R,4960
BraA06g16810R,1077
BraA06g16820R,946
BraA06g16830R,1249
BraA06g16840R,1789
BraA06g16850R,4392
BraA06g16860R,781
BraA06g16870R,619
BraA06g16880R,514
BraA06g16890R,1151
BraA06g16900R,2056
BraA06g16910R,1742
BraA06g16920R,2607
BraA06g16930R,619
BraA06g16940R,514
BraA06g16950R,1151
BraA06g16960R,2053
BraA06g16970R,2016
BraA06g16980R,300
BraA06g16990R,2106
BraA06g17000R,292
BraA06g17010R,319
BraA06g17020R,755
BraA06g17030R,234
BraA06g17040R,1899
BraA06g17050R,3132
BraA06g17060R,4220
BraA06g17070R,2166
BraA06g17080R,1671
BraA06g17090R,2424
BraA06g17100R,1726
BraA06g17110R,6196
BraA06g17120R,5581
BraA06g17130R,676
BraA06g17140R,1514
BraA06g17150R,2398
BraA06g17160R,6203
BraA06g17170R,769
BraA06g17180R,10550
BraA06g17190R,1767
BraA06g17200R,1076
BraA06g17210R,531
BraA06g17220R,6224
BraA06g17230R,1308
BraA06g17240R,282
BraA06g17250R,281
BraA06g17260R,3187
BraA06g17270R,1872
BraA06g17280R,908
BraA06g17290R,1832
BraA06g17300R,2257
BraA06g17310R,3252
BraA06g17320R,13969
BraA06g17330R,246
BraA06g17340R,1114
BraA06g17350R,1787
BraA06g17360R,2979
BraA06g17370R,2679
BraA06g17380R,2093
BraA06g17390R,3559
BraA06g17400R,1755
BraA06g17410R,567
BraA06g17420R,2398
BraA06g17430R,1478
BraA06g17440R,945
BraA06g17450R,2250
BraA06g17460R,838
BraA06g17470R,352
BraA06g17480R,3118
BraA06g17490R,387
BraA06g17500R,438
BraA06g17510R,4615
BraA06g17520R,1384
BraA06g17530R,2516
BraA06g17540R,1779
BraA06g17550R,1903
BraA06g17560R,3051
BraA06g17570R,3900
BraA06g17580R,6029
BraA06g17590R,3313
BraA06g17600R,5208
BraA06g17610R,3250
BraA06g17620R,3017
BraA06g17630R,264
BraA06g17640R,1629
BraA06g17650R,726
BraA06g17660R,389
BraA06g17670R,5602
BraA06g17680R,1605
BraA06g17690R,1336
BraA06g17700R,2096
BraA06g17710R,984
BraA06g17720R,462
BraA06g17730R,1190
BraA06g17740R,5997
BraA06g17750R,1643
BraA06g17760R,1214
BraA06g17770R,2957
BraA06g17780R,818
BraA06g17790R,1559
BraA06g17800R,723
BraA06g17810R,2807
BraA06g17820R,961
BraA06g17830R,806
BraA06g17840R,498
BraA06g17850R,2414
BraA06g17860R,1674
BraA06g17870R,361
BraA06g17880R,2996
BraA06g17890R,2316
BraA06g17900R,1326
BraA06g17910R,7591
BraA06g17920R,8229
BraA06g17930R,2795
BraA06g17940R,1484
BraA06g17950R,1689
BraA06g17960R,4838
BraA06g17970R,6607
BraA06g17980R,675
BraA06g17990R,5866
BraA06g18000R,2269
BraA06g18010R,2045
BraA06g18020R,3049
BraA06g18030R,3660
BraA06g18040R,525
BraA06g18050R,2562
BraA06g18060R,2334
BraA06g18070R,2520
BraA06g18080R,1489
BraA06g18090R,3296
BraA06g18100R,210
BraA06g18110R,2618
BraA06g18120R,5788
BraA06g18130R,1232
BraA06g18140R,2420
BraA06g18150R,2015
BraA06g18160R,838
BraA06g18170R,2164
BraA06g18180R,1521
BraA06g18190R,2141
BraA06g18200R,1135
BraA06g18210R,1305
BraA06g18220R,937
BraA06g18230R,2967
BraA06g18240R,1810
BraA06g18250R,3305
BraA06g18260R,958
BraA06g18270R,5900
BraA06g18280R,2604
BraA06g18290R,2203
BraA06g18300R,2908
BraA06g18310R,3971
BraA06g18320R,926
BraA06g18330R,2343
BraA06g18340R,3726
BraA06g18350R,2472
BraA06g18360R,2334
BraA06g18370R,1918
BraA06g18380R,1999
BraA06g18390R,366
BraA06g18400R,1660
BraA06g18410R,831
BraA06g18420R,4178
BraA06g18430R,1259
BraA06g18440R,1872
BraA06g18450R,1027
BraA06g18460R,423
BraA06g18470R,2355
BraA06g18480R,567
BraA06g18490R,1427
BraA06g18500R,5163
BraA06g18510R,4740
BraA06g18520R,1270
BraA06g18530R,3141
BraA06g18540R,2709
BraA06g18550R,1155
BraA06g18560R,2403
BraA06g18570R,2939
BraA06g18580R,2738
BraA06g18590R,1777
BraA06g18600R,6886
BraA06g18610R,450
BraA06g18620R,6242
BraA06g18630R,2212
BraA06g18640R,1569
BraA06g18650R,3003
BraA06g18660R,964
BraA06g18670R,6619
BraA06g18680R,2100
BraA06g18690R,3077
BraA06g18700R,7320
BraA06g18710R,1420
BraA06g18720R,2945
BraA06g18730R,1880
BraA06g18740R,1228
BraA06g18750R,3355
BraA06g18760R,1174
BraA06g18770R,1611
BraA06g18780R,1627
BraA06g18790R,1673
BraA06g18800R,8474
BraA06g18810R,2605
BraA06g18820R,16420
BraA06g18830R,6249
BraA06g18840R,784
BraA06g18850R,2958
BraA06g18860R,2745
BraA06g18870R,267
BraA06g18880R,678
BraA06g18890R,1034
BraA06g18900R,1162
BraA06g18910R,5502
BraA06g18920R,4263
BraA06g18930R,1436
BraA06g18940R,5644
BraA06g18950R,1822
BraA06g18960R,1401
BraA06g18970R,2474
BraA06g18980R,3927
BraA06g18990R,5097
BraA06g19000R,2557
BraA06g19010R,1387
BraA06g19020R,2210
BraA06g19030R,3029
BraA06g19040R,225
BraA06g19050R,2031
BraA06g19060R,3052
BraA06g19070R,2010
BraA06g19080R,2167
BraA06g19090R,1683
BraA06g19100R,552
BraA06g19110R,1672
BraA06g19120R,8588
BraA06g19130R,3163
BraA06g19140R,951
BraA06g19150R,1370
BraA06g19160R,282
BraA06g19170R,2676
BraA06g19180R,687
BraA06g19190R,2217
BraA06g19200R,2620
BraA06g19210R,2898
BraA06g19220R,609
BraA06g19230R,1537
BraA06g19240R,3446
BraA06g19250R,807
BraA06g19260R,1931
BraA06g19270R,2139
BraA06g19280R,8735
BraA06g19290R,273
BraA06g19300R,458
BraA06g19310R,445
BraA06g19320R,1147
BraA06g19330R,2097
BraA06g19340R,4863
BraA06g19350R,1141
BraA06g19360R,2732
BraA06g19370R,1086
BraA06g19380R,2854
BraA06g19390R,2059
BraA06g19400R,2884
BraA06g19410R,3019
BraA06g19420R,1578
BraA06g19430R,3543
BraA06g19440R,1011
BraA06g19450R,4974
BraA06g19460R,468
BraA06g19470R,7303
BraA06g19480R,1289
BraA06g19490R,3104
BraA06g19500R,2026
BraA06g19510R,2151
BraA06g19520R,2456
BraA06g19530R,1671
BraA06g19540R,1660
BraA06g19550R,3208
BraA06g19560R,1778
BraA06g19570R,3941
BraA06g19580R,2259
BraA06g19590R,2172
BraA06g19600R,3516
BraA06g19610R,2457
BraA06g19620R,1563
BraA06g19630R,4251
BraA06g19640R,1335
BraA06g19650R,261
BraA06g19660R,1211
BraA06g19670R,627
BraA06g19680R,4882
BraA06g19690R,2498
BraA06g19700R,2611
BraA06g19710R,2222
BraA06g19720R,2939
BraA06g19730R,1122
BraA06g19740R,1087
BraA06g19750R,1439
BraA06g19760R,425
BraA06g19770R,617
BraA06g19780R,837
BraA06g19790R,828
BraA06g19800R,1790
BraA06g19810R,822
BraA06g19820R,344
BraA06g19830R,1361
BraA06g19840R,2698
BraA06g19850R,3733
BraA06g19860R,358
BraA06g19870R,372
BraA06g19880R,5624
BraA06g19890R,1248
BraA06g19900R,2682
BraA06g19910R,12259
BraA06g19920R,417
BraA06g19930R,3006
BraA06g19940R,1438
BraA06g19950R,9039
BraA06g19960R,5648
BraA06g19970R,474
BraA06g19980R,2365
BraA06g19990R,2267
BraA06g20000R,13456
BraA06g20010R,1227
BraA06g20020R,2831
BraA06g20030R,965
BraA06g20040R,483
BraA06g20050R,1177
BraA06g20060R,5296
BraA06g20070R,511
BraA06g20080R,1016
BraA06g20090R,7768
BraA06g20100R,840
BraA06g20110R,2032
BraA06g20120R,1076
BraA06g20130R,966
BraA06g20140R,1957
BraA06g20150R,455
BraA06g20160R,6622
BraA06g20170R,1849
BraA06g20180R,1415
BraA06g20190R,1576
BraA06g20200R,414
BraA06g20210R,312
BraA06g20220R,810
BraA06g20230R,2870
BraA06g20240R,3330
BraA06g20250R,1724
BraA06g20260R,2794
BraA06g20270R,2916
BraA06g20280R,4230
BraA06g20290R,999
BraA06g20300R,6769
BraA06g20310R,2636
BraA06g20320R,2457
BraA06g20330R,2842
BraA06g20340R,2472
BraA06g20350R,6896
BraA06g20360R,551
BraA06g20370R,2321
BraA06g20380R,2531
BraA06g20390R,2245
BraA06g20400R,5121
BraA06g20410R,2101
BraA06g20420R,806
BraA06g20430R,2691
BraA06g20440R,2697
BraA06g20450R,674
BraA06g20460R,3409
BraA06g20470R,2187
BraA06g20480R,2016
BraA06g20490R,2156
BraA06g20500R,2037
BraA06g20510R,9681
BraA06g20520R,1540
BraA06g20530R,2229
BraA06g20540R,519
BraA06g20550R,540
BraA06g20560R,5015
BraA06g20570R,1439
BraA06g20580R,564
BraA06g20590R,6561
BraA06g20600R,4070
BraA06g20610R,4531
BraA06g20620R,10557
BraA06g20630R,602
BraA06g20640R,1751
BraA06g20650R,1720
BraA06g20660R,1261
BraA06g20670R,3748
BraA06g20680R,2946
BraA06g20690R,726
BraA06g20700R,2465
BraA06g20710R,231
BraA06g20720R,1346
BraA06g20730R,818
BraA06g20740R,2310
BraA06g20750R,4920
BraA06g20760R,2745
BraA06g20770R,2822
BraA06g20780R,307
BraA06g20790R,3635
BraA06g20800R,1655
BraA06g20810R,2065
BraA06g20820R,3024
BraA06g20830R,1505
BraA06g20840R,249
BraA06g20850R,4702
BraA06g20860R,3611
BraA06g20870R,3800
BraA06g20880R,4744
BraA06g20890R,535
BraA06g20900R,445
BraA06g20910R,726
BraA06g20920R,1772
BraA06g20930R,312
BraA06g20940R,695
BraA06g20950R,6399
BraA06g20960R,4781
BraA06g20970R,258
BraA06g20980R,511
BraA06g20990R,1438
BraA06g21000R,824
BraA06g21010R,2355
BraA06g21020R,1267
BraA06g21030R,1114
BraA06g21040R,561
BraA06g21050R,3917
BraA06g21060R,2605
BraA06g21070R,1688
BraA06g21080R,7667
BraA06g21090R,4232
BraA06g21100R,1969
BraA06g21110R,13798
BraA06g21120R,977
BraA06g21130R,1418
BraA06g21140R,966
BraA06g21150R,819
BraA06g21160R,1488
BraA06g21170R,1072
BraA06g21180R,6451
BraA06g21190R,1593
BraA06g21200R,2742
BraA06g21210R,1095
BraA06g21220R,1839
BraA06g21230R,289
BraA06g21240R,1411
BraA06g21250R,474
BraA06g21260R,2068
BraA06g21270R,1124
BraA06g21280R,1777
BraA06g21290R,3338
BraA06g21300R,1655
BraA06g21310R,1851
BraA06g21320R,1969
BraA06g21330R,2567
BraA06g21340R,642
BraA06g21350R,1150
BraA06g21360R,6461
BraA06g21370R,1199
BraA06g21380R,6137
BraA06g21390R,1030
BraA06g21400R,707
BraA06g21410R,2725
BraA06g21420R,1746
BraA06g21430R,1952
BraA06g21440R,1125
BraA06g21450R,2316
BraA06g21460R,1485
BraA06g21470R,1486
BraA06g21480R,2037
BraA06g21490R,991
BraA06g21500R,5186
BraA06g21510R,1596
BraA06g21520R,759
BraA06g21530R,1291
BraA06g21540R,741
BraA06g21550R,2589
BraA06g21560R,860
BraA06g21570R,2983
BraA06g21580R,2287
BraA06g21590R,1811
BraA06g21600R,1098
BraA06g21610R,2240
BraA06g21620R,593
BraA06g21630R,1732
BraA06g21640R,1091
BraA06g21650R,409
BraA06g21660R,4635
BraA06g21670R,5057
BraA06g21680R,1944
BraA06g21690R,2048
BraA06g21700R,1532
BraA06g21710R,4913
BraA06g21720R,4804
BraA06g21730R,871
BraA06g21740R,243
BraA06g21750R,3705
BraA06g21760R,621
BraA06g21770R,3639
BraA06g21780R,4464
BraA06g21790R,3505
BraA06g21800R,2476
BraA06g21810R,8450
BraA06g21820R,4627
BraA06g21830R,1520
BraA06g21840R,1391
BraA06g21850R,434
BraA06g21860R,376
BraA06g21870R,305
BraA06g21880R,4327
BraA06g21890R,453
BraA06g21900R,1851
BraA06g21910R,3733
BraA06g21920R,1328
BraA06g21930R,769
BraA06g21940R,3173
BraA06g21950R,4822
BraA06g21960R,2204
BraA06g21970R,10319
BraA06g21980R,1339
BraA06g21990R,5477
BraA06g22000R,621
BraA06g22010R,4338
BraA06g22020R,10417
BraA06g22030R,950
BraA06g22040R,5966
BraA06g22050R,255
BraA06g22060R,2811
BraA06g22070R,567
BraA06g22080R,845
BraA06g22090R,2783
BraA06g22100R,754
BraA06g22110R,6995
BraA06g22120R,892
BraA06g22130R,1956
BraA06g22140R,4240
BraA06g22150R,1795
BraA06g22160R,700
BraA06g22170R,879
BraA06g22180R,2594
BraA06g22190R,741
BraA06g22200R,3528
BraA06g22210R,539
BraA06g22220R,3276
BraA06g22230R,2444
BraA06g22240R,5200
BraA06g22250R,5775
BraA06g22260R,1275
BraA06g22270R,2563
BraA06g22280R,993
BraA06g22290R,15694
BraA06g22300R,467
BraA06g22310R,1882
BraA06g22320R,6337
BraA06g22330R,3398
BraA06g22340R,5939
BraA06g22350R,613
BraA06g22360R,14707
BraA06g22370R,636
BraA06g22380R,2131
BraA06g22390R,927
BraA06g22400R,1733
BraA06g22410R,313
BraA06g22420R,609
BraA06g22430R,1962
BraA06g22440R,12686
BraA06g22450R,1620
BraA06g22460R,279
BraA06g22470R,247
BraA06g22480R,1244
BraA06g22490R,521
BraA06g22500R,251
BraA06g22510R,927
BraA06g22520R,1134
BraA06g22530R,642
BraA06g22540R,2522
BraA06g22550R,1167
BraA06g22560R,6124
BraA06g22570R,3176
BraA06g22580R,1253
BraA06g22590R,3963
BraA06g22600R,7201
BraA06g22610R,393
BraA06g22620R,405
BraA06g22630R,5820
BraA06g22640R,1761
BraA06g22650R,1044
BraA06g22660R,5150
BraA06g22670R,1590
BraA06g22680R,3009
BraA06g22690R,590
BraA06g22700R,3792
BraA06g22710R,1040
BraA06g22720R,3082
BraA06g22730R,3604
BraA06g22740R,12519
BraA06g22750R,1226
BraA06g22760R,1628
BraA06g22770R,3066
BraA06g22780R,1964
BraA06g22790R,1780
BraA06g22800R,824
BraA06g22810R,2093
BraA06g22820R,3052
BraA06g22830R,443
BraA06g22840R,2004
BraA06g22850R,2988
BraA06g22860R,1898
BraA06g22870R,1109
BraA06g22880R,1547
BraA06g22890R,3796
BraA06g22900R,252
BraA06g22910R,2409
BraA06g22920R,26781
BraA06g22930R,1554
BraA06g22940R,576
BraA06g22950R,877
BraA06g22960R,2523
BraA06g22970R,1241
BraA06g22980R,961
BraA06g22990R,1824
BraA06g23000R,2680
BraA06g23010R,1194
BraA06g23020R,1559
BraA06g23030R,2260
BraA06g23040R,3518
BraA06g23050R,231
BraA06g23060R,2016
BraA06g23070R,608
BraA06g23080R,1914
BraA06g23090R,6372
BraA06g23100R,2311
BraA06g23110R,717
BraA06g23120R,1428
BraA06g23130R,804
BraA06g23140R,1658
BraA06g23150R,1686
BraA06g23160R,11462
BraA06g23170R,979
BraA06g23180R,1440
BraA06g23190R,2560
BraA06g23200R,210
BraA06g23210R,2979
BraA06g23220R,1372
BraA06g23230R,3233
BraA06g23240R,2875
BraA06g23250R,822
BraA06g23260R,2197
BraA06g23270R,462
BraA06g23280R,462
BraA06g23290R,468
BraA06g23300R,3243
BraA06g23310R,5095
BraA06g23320R,292
BraA06g23330R,3471
BraA06g23340R,3242
BraA06g23350R,1473
BraA06g23360R,1197
BraA06g23370R,2985
BraA06g23380R,1539
BraA06g23390R,9000
BraA06g23400R,4768
BraA06g23410R,1293
BraA06g23420R,1338
BraA06g23430R,3227
BraA06g23440R,6462
BraA06g23450R,9014
BraA06g23460R,2439
BraA06g23470R,426
BraA06g23480R,878
BraA06g23490R,7563
BraA06g23500R,4814
BraA06g23510R,1581
BraA06g23520R,4390
BraA06g23530R,189
BraA06g23540R,441
BraA06g23550R,1842
BraA06g23560R,4751
BraA06g23570R,2579
BraA06g23580R,253
BraA06g23590R,485
BraA06g23600R,1429
BraA06g23610R,3655
BraA06g23620R,3249
BraA06g23630R,3344
BraA06g23640R,572
BraA06g23650R,3440
BraA06g23660R,1166
BraA06g23670R,3671
BraA06g23680R,2152
BraA06g23690R,715
BraA06g23700R,438
BraA06g23710R,2824
BraA06g23720R,6104
BraA06g23730R,6918
BraA06g23740R,1672
BraA06g23750R,1916
BraA06g23760R,5732
BraA06g23770R,1249
BraA06g23780R,2843
BraA06g23790R,1488
BraA06g23800R,2165
BraA06g23810R,2429
BraA06g23820R,2967
BraA06g23830R,3251
BraA06g23840R,2828
BraA06g23850R,3019
BraA06g23860R,1125
BraA06g23870R,4383
BraA06g23880R,1796
BraA06g23890R,1288
BraA06g23900R,1070
BraA06g23910R,2583
BraA06g23920R,3684
BraA06g23930R,906
BraA06g23940R,1433
BraA06g23950R,249
BraA06g23960R,1173
BraA06g23970R,6340
BraA06g23980R,2550
BraA06g23990R,4506
BraA06g24000R,4277
BraA06g24010R,2931
BraA06g24020R,4777
BraA06g24030R,2130
BraA06g24040R,1689
BraA06g24050R,1549
BraA06g24060R,1695
BraA06g24070R,3834
BraA06g24080R,1084
BraA06g24090R,3068
BraA06g24100R,1377
BraA06g24110R,4076
BraA06g24120R,1521
BraA06g24130R,1005
BraA06g24140R,3992
BraA06g24150R,450
BraA06g24160R,1334
BraA06g24170R,2958
BraA06g24180R,802
BraA06g24190R,1869
BraA06g24200R,1446
BraA06g24210R,7036
BraA06g24220R,5223
BraA06g24230R,2668
BraA06g24240R,1902
BraA06g24250R,1587
BraA06g24260R,2344
BraA06g24270R,1785
BraA06g24280R,6172
BraA06g24290R,2148
BraA06g24300R,2299
BraA06g24310R,2700
BraA06g24320R,1983
BraA06g24330R,1360
BraA06g24340R,1532
BraA06g24350R,5460
BraA06g24360R,1439
BraA06g24370R,8797
BraA06g24380R,1142
BraA06g24390R,518
BraA06g24400R,1560
BraA06g24410R,562
BraA06g24420R,3484
BraA06g24430R,6674
BraA06g24440R,1623
BraA06g24450R,1793
BraA06g24460R,1525
BraA06g24470R,1422
BraA06g24480R,1419
BraA06g24490R,1396
BraA06g24500R,2218
BraA06g24510R,1924
BraA06g24520R,2767
BraA06g24530R,705
BraA06g24540R,1093
BraA06g24550R,2297
BraA06g24560R,996
BraA06g24570R,702
BraA06g24580R,5493
BraA06g24590R,956
BraA06g24600R,1247
BraA06g24610R,6558
BraA06g24620R,709
BraA06g24630R,2360
BraA06g24640R,3577
BraA06g24650R,1611
BraA06g24660R,3406
BraA06g24670R,3155
BraA06g24680R,2897
BraA06g24690R,8301
BraA06g24700R,3111
BraA06g24710R,665
BraA06g24720R,832
BraA06g24730R,6398
BraA06g24740R,3077
BraA06g24750R,3220
BraA06g24760R,2822
BraA06g24770R,234
BraA06g24780R,825
BraA06g24790R,1513
BraA06g24800R,2058
BraA06g24810R,3345
BraA06g24820R,4077
BraA06g24830R,3100
BraA06g24840R,1865
BraA06g24850R,390
BraA06g24860R,4576
BraA06g24870R,822
BraA06g24880R,3237
BraA06g24890R,3799
BraA06g24900R,1824
BraA06g24910R,1390
BraA06g24920R,1077
BraA06g24930R,2108
BraA06g24940R,3750
BraA06g24950R,1146
BraA06g24960R,2256
BraA06g24970R,3596
BraA06g24980R,1637
BraA06g24990R,3737
BraA06g25000R,1456
BraA06g25010R,1921
BraA06g25020R,1913
BraA06g25030R,1091
BraA06g25040R,374
BraA06g25050R,1824
BraA06g25060R,774
BraA06g25070R,968
BraA06g25080R,2690
BraA06g25090R,1318
BraA06g25100R,685
BraA06g25110R,1374
BraA06g25120R,1469
